name
Pacific Ocean
Atlantic Ocean
Indian Ocean
Arctic Ocean
Southern Ocean
Mediterranean Sea
Caribbean Sea
South China Sea
Bering Sea
Gulf of Mexico
Okhotsk Sea
East China Sea
Hudson Bay
Japan Sea
Andaman Sea
North Sea
Red Sea
Baltic Sea
Black Sea
Arabian Sea
Coral Sea
Tasman Sea
Philippine Sea
Sargasso Sea
Greenland Sea
Barents Sea
Kara Sea
Laptev Sea
East Siberian Sea
Chukchi Sea
Beaufort Sea
Lincoln Sea
Wandel Sea
Norwegian Sea
Irish Sea
Celtic Sea
English Channel
Bay of Biscay
Adriatic Sea
Aegean Sea
Ionian Sea
Tyrrhenian Sea
Ligurian Sea
Alboran Sea
Balearic Sea
Sea of Crete
Sea of Marmara
Sea of Azov
Caspian Sea
Aral Sea
Salton Sea
Dead Sea
Sea of Galilee
White Sea
Pechora Sea
Timor Sea
Arafura Sea
Banda Sea
Celebes Sea
Sulu Sea
Molucca Sea
Java Sea
Flores Sea
Savu Sea
Halmahera Sea
Ceram Sea
Bismarck Sea
Solomon Sea
Gulf of Carpentaria
Gulf of Thailand
Gulf of Tonkin
Yellow Sea
Bohai Sea
Seto Inland Sea
Sea of Japan
Gulf of Alaska
Gulf of California
Labrador Sea
Irminger Sea
Davis Strait
Baffin Bay
James Bay
Gulf of St. Lawrence
Bay of Fundy
Sunda Strait
Makassar Strait
Lombok Strait
Malacca Strait
Singapore Strait
Palk Strait
Bab-el-Mandeb
Strait of Hormuz
Persian Gulf
Gulf of Oman
Gulf of Aden
Gulf of Guinea
Mozambique Channel
Great Australian Bight
Spencer Gulf
Gulf St Vincent
Bass Strait
Cook Strait
Foveaux Strait
